umap1,umap2,cluster,protein
10.16654,-1.0815153,125,Sphmag15G021400.1.p
4.149701,-3.6409292,-1,Sphmag15G070000.1.p
8.702388,-3.0087543,76,Sphmag15G009800.1.p
7.2642007,-1.3028355,-1,Sphmag15G034900.1.p
2.8944557,-3.8404202,197,Sphmag15G001200.1.p
8.648843,7.247934,48,Sphmag15G104800.1.p
6.6055326,-1.7924484,-1,Sphmag15G098600.1.p
10.453189,-1.3271431,126,Sphmag15G068600.1.p
9.942249,-0.95452726,118,Sphmag15G046500.1.p
5.395252,1.6654193,-1,Sphmag15G057700.1.p
6.514306,6.0853415,59,Sphmag15G011100.1.p
8.217798,2.3709254,170,Sphmag15G050200.1.p
-6.44646,-2.4952745,10,Sphmag15G003500.1.p
5.2544904,-5.635815,137,Sphmag15G061700.1.p
11.318736,6.438644,-1,Sphmag15G106600.1.p
5.145214,-1.580899,-1,Sphmag15G020400.1.p
8.364118,-0.47222218,-1,Sphmag15G064100.1.p
0.991249,0.7660742,75,Sphmag15G083200.1.p
2.4274116,-4.3371534,144,Sphmag15G081300.1.p
4.5307655,0.43730205,158,Sphmag15G087000.1.p
6.557823,6.0244884,59,Sphmag15G005500.1.p
10.695966,-1.45774,126,Sphmag15G081800.1.p
7.503274,3.9343584,-1,Sphmag15G100300.1.p
13.829147,-7.8947005,31,Sphmag15G094500.1.p
1.2873608,-1.2234195,122,Sphmag15G056400.1.p
-3.7712667,6.231157,24,Sphmag15G063800.1.p
9.992111,-0.08924217,-1,Sphmag15G101100.1.p
6.836849,1.0834532,-1,Sphmag15G037000.1.p
2.8934944,-4.9572573,172,Sphmag15G054500.1.p
7.0530624,3.2762194,179,Sphmag15G057500.1.p
6.5325966,0.11483798,-1,Sphmag15G085500.1.p
12.219562,6.6748695,236,Sphmag15G102600.1.p
11.247662,6.7578526,242,Sphmag15G007800.1.p
4.8552938,-5.1141624,137,Sphmag15G071000.1.p
9.8678465,0.2537465,-1,Sphmag15G072200.1.p
14.950636,-0.8175953,5,Sphmag15G004300.1.p
2.871887,-5.1577654,172,Sphmag15G055800.1.p
-0.59643906,-2.5135207,54,Sphmag15G000400.1.p
16.978079,-0.45025897,6,Sphmag15G022600.1.p
2.4065678,-0.0017007143,114,Sphmag15G013700.1.p
10.288943,-1.1768674,125,Sphmag15G011400.1.p
9.099767,-4.5566597,87,Sphmag15G003800.1.p
12.216626,6.647938,236,Sphmag15G049700.1.p
16.269627,4.8830028,17,Sphmag15G071500.1.p
9.751697,5.061369,233,Sphmag15G026800.1.p
5.657599,1.9973857,206,Sphmag15G085900.1.p
6.4694443,0.18427247,210,Sphmag15G089500.1.p
9.077053,4.2251434,-1,Sphmag15G031700.1.p
16.050148,6.4775825,16,Sphmag15G047000.1.p
4.359055,0.9661311,158,Sphmag15G014100.1.p
7.369026,1.7102826,211,Sphmag15G026400.1.p
-0.87211764,4.315279,46,Sphmag15G037600.1.p
8.694,-3.0299327,76,Sphmag15G045400.1.p
-0.84570134,-5.154369,61,Sphmag15G027900.1.p
2.0466287,-4.4813385,136,Sphmag15G004100.1.p
6.8567886,5.747373,59,Sphmag15G002800.1.p
-5.7739387,1.1252012,14,Sphmag15G020800.1.p
6.9077096,8.736641,37,Sphmag15G083700.1.p
4.905751,-5.7874165,137,Sphmag15G078400.1.p
16.05328,6.5023184,16,Sphmag15G000900.1.p
4.7745695,-1.2745584,155,Sphmag15G061100.1.p
8.942245,-4.557351,87,Sphmag15G054900.1.p
4.7395687,-3.2282403,251,Sphmag15G091500.1.p
3.9092443,-4.087909,-1,Sphmag15G051100.1.p
7.046602,5.4008684,59,Sphmag15G053700.1.p
12.127738,7.2363334,-1,Sphmag15G022900.1.p
11.993633,14.012314,-1,Sphmag15G032700.1.p
2.4376838,0.39826232,107,Sphmag15G000600.1.p
5.4375644,-5.426933,137,Sphmag15G063900.1.p
4.2288427,-3.0728543,-1,Sphmag15G080500.1.p
3.1984155,3.1920977,138,Sphmag15G023400.1.p
5.350434,-0.7333591,224,Sphmag15G042100.1.p
9.495614,0.41762462,127,Sphmag15G090600.1.p
19.447628,-0.04979769,4,Sphmag15G085300.1.p
-0.018947417,-0.9628674,89,Sphmag15G043100.1.p
5.2200413,0.47764194,200,Sphmag15G021900.1.p
-1.0384169,-9.81724,13,Sphmag15G066300.1.p
8.117744,3.1283133,-1,Sphmag15G081900.1.p
5.034473,-3.0715528,-1,Sphmag15G038100.1.p
11.598265,10.137526,69,Sphmag15G045200.1.p
1.7212664,-1.0451211,122,Sphmag15G060300.1.p
6.180601,-0.8794802,230,Sphmag15G074000.1.p
7.6314955,1.145122,-1,Sphmag15G057600.1.p
8.716067,-4.3456087,-1,Sphmag15G082400.1.p
4.9309297,-5.8163605,137,Sphmag15G103500.1.p
11.270516,6.736048,242,Sphmag15G093300.1.p
6.884374,0.7789787,194,Sphmag15G049300.1.p
9.664864,6.167374,208,Sphmag15G074200.1.p
4.918054,-3.348139,251,Sphmag15G066200.1.p
6.330279,-5.4522424,137,Sphmag15G036900.1.p
4.6913457,-3.6448076,251,Sphmag15G103700.1.p
2.9773629,-4.0033875,197,Sphmag15G099200.1.p
11.641036,9.917834,69,Sphmag15G102400.1.p
9.810018,5.1525865,233,Sphmag15G052600.1.p
11.101556,-1.4198922,115,Sphmag15G055400.1.p
9.568658,5.1806064,233,Sphmag15G092800.1.p
5.7893786,-0.33123928,-1,Sphmag15G029600.1.p
7.8216667,0.8166252,189,Sphmag15G042000.1.p
5.8857102,1.853803,-1,Sphmag15G082800.1.p
9.038515,3.830517,-1,Sphmag15G089300.1.p
-0.7977179,-6.9131804,35,Sphmag15G002400.1.p
17.118998,-0.60211784,6,Sphmag15G021700.1.p
-2.3808799,-2.882636,-1,Sphmag15G033600.1.p
3.7531748,2.8391707,79,Sphmag15G032500.1.p
12.339676,-1.8100649,-1,Sphmag15G064800.1.p
-0.91371167,2.318657,65,Sphmag15G070300.1.p
9.898896,2.2358222,-1,Sphmag15G062400.1.p
7.219328,3.9879394,215,Sphmag15G073800.1.p
4.536547,-5.0542364,137,Sphmag15G015000.1.p
-1.0209222,-7.231293,38,Sphmag15G014900.1.p
3.82092,4.6083183,-1,Sphmag15G102100.1.p
6.6347837,0.48664403,-1,Sphmag15G001700.1.p
18.407904,2.5776062,3,Sphmag15G093400.1.p
3.714813,6.276897,49,Sphmag15G030400.1.p
2.467005,11.106986,18,Sphmag15G044900.1.p
0.7980875,0.7058159,75,Sphmag15G103400.1.p
1.3315226,-1.2009546,122,Sphmag15G106900.1.p
2.7715168,-5.1187325,172,Sphmag15G026000.1.p
2.019574,-4.4606586,136,Sphmag15G004500.1.p
5.808345,1.4631197,207,Sphmag15G059900.1.p
13.986883,5.228274,45,Sphmag15G037100.1.p
1.2045871,-13.403786,2,Sphmag15G006200.1.p
3.5212648,8.775507,28,Sphmag15G082000.1.p
5.5850387,3.0780475,-1,Sphmag15G099600.1.p
7.3019667,3.8960662,215,Sphmag15G014400.1.p
6.2080183,3.5034132,-1,Sphmag15G021600.1.p
4.126073,3.8133428,146,Sphmag15G006700.1.p
4.7746687,3.5931656,163,Sphmag15G055700.1.p
5.3316517,0.19451077,193,Sphmag15G105400.1.p
1.8833035,-0.13179152,-1,Sphmag15G048100.1.p
6.701107,1.3701032,-1,Sphmag15G073000.1.p
5.561382,2.7773132,-1,Sphmag15G058100.1.p
6.127449,-0.89553034,-1,Sphmag15G054400.1.p
6.4285865,-2.7232547,160,Sphmag15G054800.1.p
1.8870435,9.198298,25,Sphmag15G093100.1.p
12.286084,6.6945705,236,Sphmag15G022200.1.p
3.7256086,-7.2765193,78,Sphmag15G002700.1.p
11.083758,2.1965635,-1,Sphmag15G087300.1.p
10.763023,6.147092,-1,Sphmag15G077300.1.p
13.9907055,5.2257385,45,Sphmag15G037700.1.p
2.5395818,-0.55624044,-1,Sphmag15G097800.1.p
8.645087,4.452425,-1,Sphmag15G058300.1.p
-1.0331,-9.817901,13,Sphmag15G069300.1.p
8.252168,3.1761992,-1,Sphmag15G063600.1.p
12.015243,6.6138983,-1,Sphmag15G023500.1.p
3.9616919,-2.6547701,185,Sphmag15G089600.1.p
6.1160026,-1.1258403,225,Sphmag15G078700.1.p
4.3984914,-3.7025685,251,Sphmag15G055900.1.p
5.6377625,2.747881,199,Sphmag15G066000.1.p
-6.355626,1.163228,14,Sphmag15G078600.1.p
12.410353,-4.112923,40,Sphmag15G000500.1.p
10.0464735,5.5135727,-1,Sphmag15G063300.1.p
7.926717,-2.2492046,133,Sphmag15G062800.1.p
9.254393,12.090485,30,Sphmag15G056900.1.p
5.569342,-4.9691987,137,Sphmag15G099700.1.p
3.4199038,8.21574,27,Sphmag15G098700.1.p
1.3330479,-0.8481671,123,Sphmag15G052400.1.p
4.273343,4.447099,140,Sphmag15G101500.1.p
11.221488,6.2610226,-1,Sphmag15G040300.1.p
5.6910114,1.9814633,206,Sphmag15G062000.1.p
4.095033,-5.378089,137,Sphmag15G041900.1.p
1.2781299,-0.9549675,123,Sphmag15G020700.1.p
6.626547,3.3184798,179,Sphmag15G024800.1.p
7.2189217,0.30227074,-1,Sphmag15G065000.1.p
4.6160684,-12.624401,19,Sphmag15G097400.1.p
4.5156,-2.404557,-1,Sphmag15G098800.1.p
5.8054385,-1.6322997,214,Sphmag15G092400.1.p
11.683575,-0.5832942,83,Sphmag15G077400.1.p
5.562034,-0.5392305,-1,Sphmag15G073600.1.p
6.4030237,-0.6333273,230,Sphmag15G025900.1.p
10.967413,6.115789,-1,Sphmag15G007300.1.p
2.7394285,-5.1019115,172,Sphmag15G027800.1.p
7.103016,2.0358613,211,Sphmag15G023200.1.p
7.8783197,0.5904258,189,Sphmag15G105500.1.p
10.423895,8.449926,103,Sphmag15G002100.1.p
6.4229774,-5.5800896,137,Sphmag15G062700.1.p
3.3554685,-4.355769,247,Sphmag15G064300.1.p
1.204272,-13.404261,2,Sphmag15G039200.1.p
5.963476,-0.878535,225,Sphmag15G088200.1.p
-3.2425864,2.3626323,43,Sphmag15G046400.1.p
-0.5711691,-2.5136905,54,Sphmag15G097100.1.p
4.682313,-0.86313224,-1,Sphmag15G034500.1.p
5.0870976,6.3567944,60,Sphmag15G009100.1.p
4.3968334,-0.21943943,148,Sphmag15G071100.1.p
14.753746,2.7014205,71,Sphmag15G025000.1.p
2.4890416,1.0685995,92,Sphmag15G043000.1.p
7.728054,-1.1337388,-1,Sphmag15G010800.1.p
6.540416,-5.9221253,137,Sphmag15G015700.1.p
1.0604997,-0.6133231,123,Sphmag15G030600.1.p
-1.0471617,2.707014,65,Sphmag15G042500.1.p
16.046465,6.4702244,16,Sphmag15G047400.1.p
5.5707035,-0.26808032,212,Sphmag15G033100.1.p
-3.8474905,-1.6593236,22,Sphmag15G017400.1.p
5.4997516,3.41363,183,Sphmag15G106800.1.p
5.732086,-2.3942678,214,Sphmag15G100700.1.p
6.5945053,1.1539327,171,Sphmag15G039100.1.p
5.2123075,4.0709476,139,Sphmag15G102800.1.p
7.472545,1.0586092,-1,Sphmag15G095500.1.p
12.230691,6.85261,-1,Sphmag15G048900.1.p
2.5880268,-2.641128,130,Sphmag15G069600.1.p
10.882726,5.736558,176,Sphmag15G039700.1.p
0.48018536,-0.35234585,90,Sphmag15G020900.1.p
2.3530831,1.0736657,92,Sphmag15G093800.1.p
8.1847105,-0.37891424,167,Sphmag15G017100.1.p
1.2759897,-0.830352,123,Sphmag15G099100.1.p
7.4891915,1.9388682,211,Sphmag15G067800.1.p
7.1718535,-4.3465657,-1,Sphmag15G035900.1.p
6.2356877,-6.1470413,137,Sphmag15G089100.1.p
7.277725,0.2612797,-1,Sphmag15G082300.1.p
5.1103888,-2.9206913,249,Sphmag15G047700.1.p
1.5926344,-1.0997121,122,Sphmag15G077100.1.p
4.0240088,-2.8453796,185,Sphmag15G051200.1.p
4.7379,1.2423313,-1,Sphmag15G028500.1.p
3.4145348,4.0697827,145,Sphmag15G045500.1.p
2.9176204,-3.992698,197,Sphmag15G090500.1.p
4.7937837,-3.4385183,251,Sphmag15G001900.1.p
6.7257752,-6.247477,137,Sphmag15G001400.1.p
6.001911,-2.3864932,-1,Sphmag15G042700.1.p
7.297295,3.9671443,215,Sphmag15G026600.1.p
19.453041,-0.05557408,4,Sphmag15G041100.1.p
5.2214866,-0.49049827,224,Sphmag15G034600.1.p
10.397402,-5.340176,53,Sphmag15G091400.1.p
6.7795525,0.71178085,194,Sphmag15G074800.1.p
5.718681,0.12688455,193,Sphmag15G106700.1.p
4.040846,-3.859176,246,Sphmag15G023900.1.p
7.014949,0.86900556,194,Sphmag15G013600.1.p
10.888007,8.083496,104,Sphmag15G049000.1.p
1.7235304,0.035438344,-1,Sphmag15G096600.1.p
6.3730288,-5.1175647,137,Sphmag15G086200.1.p
5.4791193,-2.1066492,214,Sphmag15G060000.1.p
5.739195,-1.2794601,-1,Sphmag15G013500.1.p
5.6109548,-2.5098772,214,Sphmag15G044600.1.p
6.109705,-2.504326,-1,Sphmag15G100200.1.p
-1.7619866,-7.1949263,33,Sphmag15G002300.1.p
0.117555276,5.101776,42,Sphmag15G060500.1.p
5.2628555,-0.67997575,224,Sphmag15G012400.1.p
-0.86687374,4.309163,46,Sphmag15G068000.1.p
5.4429455,-1.0894681,224,Sphmag15G061600.1.p
5.3894,0.8454408,200,Sphmag15G103300.1.p
10.138161,-0.3854955,-1,Sphmag15G008600.1.p
10.920111,6.7963114,-1,Sphmag15G026700.1.p
1.0703702,-4.204941,-1,Sphmag15G015500.1.p
5.531634,1.6140248,-1,Sphmag15G007000.1.p
5.6233883,-3.6963685,-1,Sphmag15G043600.1.p
5.3153815,-5.221461,137,Sphmag15G098300.1.p
6.7823586,0.013575652,210,Sphmag15G078200.1.p
16.048306,6.472076,16,Sphmag15G047200.1.p
1.544037,-0.109079346,-1,Sphmag15G030000.1.p
7.9826636,1.3583268,189,Sphmag15G067200.1.p
3.1985383,-2.406589,134,Sphmag15G086900.1.p
11.075709,-1.4539987,115,Sphmag15G084600.1.p
0.09727895,8.227291,21,Sphmag15G064000.1.p
8.571599,-5.9894247,137,Sphmag15G100000.1.p
6.801358,-0.2037465,-1,Sphmag15G084000.1.p
7.3606234,3.5651596,-1,Sphmag15G058900.1.p
6.117009,2.1921816,-1,Sphmag15G053200.1.p
7.041726,-1.7877805,150,Sphmag15G068800.1.p
5.59093,-5.3938828,137,Sphmag15G003900.1.p
6.185117,0.24295677,232,Sphmag15G013200.1.p
11.689247,-0.5883658,83,Sphmag15G048700.1.p
5.106172,2.7353053,-1,Sphmag15G020600.1.p
-1.9614831,-6.7622194,34,Sphmag15G063400.1.p
1.9656633,-1.3500394,-1,Sphmag15G086700.1.p
1.8424072,-1.7563492,96,Sphmag15G104500.1.p
10.61757,-1.513721,126,Sphmag15G101000.1.p
10.22331,-0.08036753,-1,Sphmag15G059600.1.p
5.4876575,0.5175104,-1,Sphmag15G035000.1.p
2.194867,-0.61696476,120,Sphmag15G018100.1.p
11.716684,10.050732,69,Sphmag15G075300.1.p
5.837365,2.8157434,203,Sphmag15G047800.1.p
4.992761,-3.5409477,251,Sphmag15G078900.1.p
7.5212855,-0.67291826,-1,Sphmag15G002200.1.p
6.9830027,5.227468,59,Sphmag15G018500.1.p
3.174941,-0.12433084,-1,Sphmag15G034300.1.p
16.292934,4.858439,17,Sphmag15G105300.1.p
9.743675,-0.7283642,-1,Sphmag15G104100.1.p
-0.8643045,4.3064585,46,Sphmag15G075800.1.p
4.286515,-4.295775,-1,Sphmag15G046300.1.p
7.905797,2.8949358,177,Sphmag15G021100.1.p
2.1253474,-0.4207509,120,Sphmag15G080900.1.p
4.8643928,-5.4759803,137,Sphmag15G049500.1.p
3.7423563,4.3215227,146,Sphmag15G031800.1.p
2.7861977,-0.23805691,-1,Sphmag15G091200.1.p
10.850619,8.143145,104,Sphmag15G000100.1.p
2.7708256,-0.34592417,119,Sphmag15G095600.1.p
9.807767,6.083898,208,Sphmag15G074600.1.p
3.7950668,-2.4981775,-1,Sphmag15G094400.1.p
3.6995268,6.3790116,49,Sphmag15G050700.1.p
3.649245,3.635317,142,Sphmag15G106100.1.p
-0.11892825,-4.27586,62,Sphmag15G009400.1.p
5.9984784,-2.7717085,-1,Sphmag15G009700.1.p
7.5690937,-4.869372,137,Sphmag15G084100.1.p
3.1261883,3.903447,-1,Sphmag15G082900.1.p
4.615677,-12.626883,19,Sphmag15G069800.1.p
5.0273175,4.0908318,139,Sphmag15G101800.1.p
4.892541,-2.6361473,-1,Sphmag15G091000.1.p
4.28978,-4.3602614,-1,Sphmag15G065300.1.p
5.240126,2.183807,-1,Sphmag15G039800.1.p
4.6875014,-5.4939914,137,Sphmag15G063700.1.p
1.2052459,-13.403402,2,Sphmag15G069700.1.p
6.570903,-1.1429819,-1,Sphmag15G061800.1.p
19.45394,-0.05659327,4,Sphmag15G041800.1.p
7.1280775,-5.4820313,137,Sphmag15G020000.1.p
7.945309,-6.555939,137,Sphmag15G010700.1.p
4.6201916,-0.4204458,148,Sphmag15G042400.1.p
5.973173,1.3386716,205,Sphmag15G019300.1.p
-2.34249,3.4637341,-1,Sphmag15G044100.1.p
8.470496,2.0516305,-1,Sphmag15G078500.1.p
8.469124,-0.56490636,168,Sphmag15G004200.1.p
6.922155,3.9264421,215,Sphmag15G031600.1.p
6.1237326,-4.9376836,137,Sphmag15G068900.1.p
8.710783,-2.9959939,76,Sphmag15G091700.1.p
0.7882376,0.72414756,75,Sphmag15G058400.1.p
-1.817535,-7.1889915,33,Sphmag15G092300.1.p
-1.3003474,-7.0474787,39,Sphmag15G068200.1.p
5.5429688,-3.02812,-1,Sphmag15G036500.1.p
8.033973,3.4752052,217,Sphmag15G094100.1.p
7.856191,3.9503639,217,Sphmag15G088600.1.p
6.090923,-4.734438,137,Sphmag15G052500.1.p
17.544363,6.008819,15,Sphmag15G087600.1.p
1.278877,-0.8395038,123,Sphmag15G105600.1.p
2.9236584,-0.35871324,119,Sphmag15G047600.1.p
15.639419,-1.1688497,5,Sphmag15G044000.1.p
5.8129034,-4.5103097,137,Sphmag15G081000.1.p
-1.0490149,-9.805103,13,Sphmag15G065800.1.p
5.6508446,-1.5448452,-1,Sphmag15G030500.1.p
6.0872974,1.0508591,198,Sphmag15G052800.1.p
16.049625,6.4749613,16,Sphmag15G053900.1.p
7.183088,-5.8204875,137,Sphmag15G073300.1.p
4.191887,1.6321913,-1,Sphmag15G077700.1.p
3.9340434,-2.3462856,-1,Sphmag15G018600.1.p
5.624577,5.642629,66,Sphmag15G034700.1.p
5.6578674,-6.109839,137,Sphmag15G095400.1.p
5.1090612,-3.0337837,-1,Sphmag15G098900.1.p
18.648287,2.7849536,3,Sphmag15G079500.1.p
-1.2166866,2.2524295,65,Sphmag15G067000.1.p
1.2799553,-0.64763254,123,Sphmag15G051000.1.p
5.361624,-3.1242268,-1,Sphmag15G014000.1.p
6.7038355,-4.2096395,-1,Sphmag15G024300.1.p
4.8861604,-1.9954467,-1,Sphmag15G057100.1.p
10.396351,-5.380106,53,Sphmag15G022500.1.p
4.8269124,1.3274353,181,Sphmag15G029100.1.p
7.335403,-5.4727635,137,Sphmag15G024700.1.p
5.8710017,-6.373002,137,Sphmag15G097200.1.p
5.9739017,-1.5197046,-1,Sphmag15G001600.1.p
3.4411123,-3.1604548,184,Sphmag15G105900.1.p
8.712315,-3.0277855,76,Sphmag15G072700.1.p
5.476156,-5.837811,137,Sphmag15G028600.1.p
2.707058,-5.849197,141,Sphmag15G043900.1.p
7.221345,0.043780778,-1,Sphmag15G032400.1.p
7.4118834,4.072947,-1,Sphmag15G045800.1.p
5.499196,3.8888605,-1,Sphmag15G077500.1.p
-0.86553085,4.307883,46,Sphmag15G022100.1.p
5.895273,-11.910142,20,Sphmag15G072100.1.p
5.895792,-6.4355407,137,Sphmag15G041000.1.p
3.164099,-3.426169,196,Sphmag15G092900.1.p
3.370252,-2.315077,-1,Sphmag15G076300.1.p
7.140195,2.348787,-1,Sphmag15G025700.1.p
10.955079,-7.4630566,52,Sphmag15G011300.1.p
5.23335,1.0858898,-1,Sphmag15G083500.1.p
3.9914627,-2.913999,185,Sphmag15G008500.1.p
7.7219105,-1.1713735,151,Sphmag15G010900.1.p
12.144613,6.5399876,236,Sphmag15G021000.1.p
5.7473006,1.2051686,204,Sphmag15G053000.1.p
2.0171516,-4.532897,136,Sphmag15G004400.1.p
6.0090766,1.3364978,205,Sphmag15G051700.1.p
10.896557,6.2864313,241,Sphmag15G056000.1.p
5.66602,2.8049033,199,Sphmag15G025400.1.p
7.000357,1.2579359,164,Sphmag15G022800.1.p
6.070528,0.4421737,232,Sphmag15G004800.1.p
2.3474743,-4.5044155,-1,Sphmag15G028800.1.p
8.506834,7.298966,48,Sphmag15G073900.1.p
7.723088,-6.504183,137,Sphmag15G097700.1.p
4.5835567,-0.72640353,-1,Sphmag15G043200.1.p
-1.3180783,11.429119,1,Sphmag15G056200.1.p
4.154255,-3.7467072,246,Sphmag15G082200.1.p
4.7908177,-6.101761,-1,Sphmag15G087100.1.p
6.8925037,8.754934,37,Sphmag15G095900.1.p
6.8527317,3.8543715,215,Sphmag15G049900.1.p
8.047428,2.3304753,-1,Sphmag15G093000.1.p
5.9057555,2.557752,-1,Sphmag15G104900.1.p
7.61049,1.7052796,-1,Sphmag15G068300.1.p
7.4049535,2.081791,211,Sphmag15G086300.1.p
10.478325,-1.3731822,126,Sphmag15G031000.1.p
16.992002,-0.4653397,6,Sphmag15G037200.1.p
1.5052812,-1.1572664,122,Sphmag15G027100.1.p
8.4285555,-6.0942116,137,Sphmag15G042800.1.p
2.7834365,-2.7884126,130,Sphmag15G037900.1.p
11.3519535,2.1072335,95,Sphmag15G008400.1.p
6.479491,-5.320812,137,Sphmag15G073100.1.p
6.44591,-4.829607,137,Sphmag15G080300.1.p
6.6346364,-2.3640897,-1,Sphmag15G034000.1.p
10.454362,-1.1767753,126,Sphmag15G005200.1.p
10.717887,-7.0170302,51,Sphmag15G081100.1.p
3.2184289,-3.356968,196,Sphmag15G092600.1.p
3.3480582,-4.4348226,247,Sphmag15G082600.1.p
8.076535,1.4266884,-1,Sphmag15G034200.1.p
8.004699,3.8965542,217,Sphmag15G062300.1.p
4.0918646,-3.7091372,246,Sphmag15G084800.1.p
5.589886,-0.11990286,-1,Sphmag15G024200.1.p
19.45414,-0.055414565,4,Sphmag15G041600.1.p
6.9761987,1.621433,164,Sphmag15G003200.1.p
7.1456323,-1.5688145,152,Sphmag15G096800.1.p
7.515744,-6.273618,137,Sphmag15G089900.1.p
4.818021,-1.3319005,155,Sphmag15G061300.1.p
3.4888334,-5.1964073,209,Sphmag15G091900.1.p
1.5324297,-0.9519194,122,Sphmag15G018800.1.p
6.9886694,5.4070344,59,Sphmag15G055200.1.p
5.815403,-5.8210816,137,Sphmag15G095300.1.p
10.752234,6.40022,-1,Sphmag15G060800.1.p
4.2555366,4.6273923,140,Sphmag15G069000.1.p
-5.9477725,1.141341,14,Sphmag15G076800.1.p
5.5988436,1.4435381,-1,Sphmag15G064500.1.p
10.723482,-7.015937,51,Sphmag15G003100.1.p
7.9488244,1.006636,189,Sphmag15G078300.1.p
6.247944,-5.2137403,137,Sphmag15G001300.1.p
5.1260433,0.61336964,-1,Sphmag15G081600.1.p
4.972877,-5.66178,137,Sphmag15G089000.1.p
11.050627,7.918043,104,Sphmag15G010000.1.p
6.2539167,-0.7950609,230,Sphmag15G088900.1.p
6.627812,0.11462283,210,Sphmag15G063500.1.p
4.7668076,-5.3216124,137,Sphmag15G106500.1.p
2.3430676,1.0093288,92,Sphmag15G042300.1.p
3.3552523,-1.9681356,-1,Sphmag15G013300.1.p
11.811064,6.4707165,-1,Sphmag15G029800.1.p
4.942151,-4.437023,-1,Sphmag15G033300.1.p
6.3594575,-2.258704,-1,Sphmag15G005000.1.p
4.872247,3.062002,-1,Sphmag15G081400.1.p
2.9939585,-0.30503666,119,Sphmag15G079200.1.p
7.0170617,3.8494465,215,Sphmag15G083100.1.p
17.044771,-0.5221325,6,Sphmag15G105200.1.p
6.16295,-6.0270743,137,Sphmag15G095200.1.p
0.693948,-1.3180903,111,Sphmag15G096300.1.p
5.00906,-3.3546064,251,Sphmag15G082100.1.p
7.4926524,3.7254975,215,Sphmag15G086000.1.p
8.50544,-4.1829495,-1,Sphmag15G074400.1.p
6.964719,1.2418942,164,Sphmag15G075500.1.p
1.4936165,-0.17050907,-1,Sphmag15G059200.1.p
7.125752,3.7378254,215,Sphmag15G003400.1.p
16.050482,6.4743104,16,Sphmag15G046700.1.p
4.039467,-3.3474433,-1,Sphmag15G054700.1.p
3.2333806,4.4692326,146,Sphmag15G093700.1.p
5.426225,-4.7410035,137,Sphmag15G033900.1.p
11.263398,-3.4282353,41,Sphmag15G014800.1.p
5.21032,-1.6107205,-1,Sphmag15G048800.1.p
6.8955617,8.750675,37,Sphmag15G077000.1.p
6.2784905,-6.0807343,137,Sphmag15G083600.1.p
11.0557575,6.0651207,-1,Sphmag15G017500.1.p
2.376994,-0.74424934,-1,Sphmag15G094200.1.p
1.1628611,0.78349894,75,Sphmag15G058600.1.p
5.7027917,-5.455764,137,Sphmag15G105000.1.p
8.340113,3.7999828,221,Sphmag15G035700.1.p
11.082565,2.1982756,-1,Sphmag15G087200.1.p
-3.8532107,-1.6652223,22,Sphmag15G017300.1.p
8.310835,3.0553398,201,Sphmag15G034800.1.p
